experiment,run_name,run_dir,hidden_layers,neurons,lr,batch_size,train_size,epochs,feature_encoding,tag,seed,status,diverged_epoch,best_epoch,best_eval_rmse_liters,best_eval_mse_liters2,train_time_s,total_time_s,epochs_completed,n_parameters,in_dimension,steps_per_epoch,optimizer_steps,test_rmse_liters,test_mse_liters2,device,gpu_name,torch,python,git_commit
gpu_arch,h1_n32_lr0.001_bs10000_ntrain100000_ep1000_seed2,runs/gpu_arch/h1_n32_lr0.001_bs10000_ntrain100000_ep1000_seed2,1,32,0.001,10000,100000,1000,raw,,2,completed,,924,10.877313080047383,118.31593984136988,2.6175318371970206,2.828885698923841,1000,513,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,9af8a86
gpu_arch,h1_n32_lr0.001_bs10000_ntrain100000_ep1000_seed3,runs/gpu_arch/h1_n32_lr0.001_bs10000_ntrain100000_ep1000_seed3,1,32,0.001,10000,100000,1000,raw,,3,completed,,971,11.240253564707068,126.34330019890994,2.5932423213962466,2.799969956977293,1000,513,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,9af8a86
gpu_arch,h1_n32_lr0.001_bs10000_ntrain100000_ep1000_seed4,runs/gpu_arch/h1_n32_lr0.001_bs10000_ntrain100000_ep1000_seed4,1,32,0.001,10000,100000,1000,raw,,4,completed,,987,10.817578654962501,117.02000795630032,2.7617239539977163,2.9846529790665954,1000,513,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,9af8a86
gpu_arch,h1_n64_lr0.001_bs10000_ntrain100000_ep1000_seed0,runs/gpu_arch/h1_n64_lr0.001_bs10000_ntrain100000_ep1000_seed0,1,64,0.001,10000,100000,1000,raw,,0,completed,,998,8.381415970101552,70.24813366387333,3.2147589782252908,3.439880695892498,1000,1025,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,9af8a86
gpu_arch,h1_n64_lr0.001_bs10000_ntrain100000_ep1000_seed1,runs/gpu_arch/h1_n64_lr0.001_bs10000_ntrain100000_ep1000_seed1,1,64,0.001,10000,100000,1000,raw,,1,completed,,994,8.348597745491945,69.6990843160332,3.1969011714681983,3.4251418481580913,1000,1025,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,9af8a86
gpu_arch,h1_n64_lr0.001_bs10000_ntrain100000_ep1000_seed2,runs/gpu_arch/h1_n64_lr0.001_bs10000_ntrain100000_ep1000_seed2,1,64,0.001,10000,100000,1000,raw,,2,completed,,992,8.471457258016724,71.76558807440422,2.7935290173627436,3.020715655060485,1000,1025,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,9af8a86
gpu_arch,h1_n64_lr0.001_bs10000_ntrain100000_ep1000_seed3,runs/gpu_arch/h1_n64_lr0.001_bs10000_ntrain100000_ep1000_seed3,1,64,0.001,10000,100000,1000,raw,,3,completed,,984,8.116126282623881,65.87150583549814,3.1282719729933888,3.357899066992104,1000,1025,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,9af8a86
gpu_arch,h1_n64_lr0.001_bs10000_ntrain100000_ep1000_seed4,runs/gpu_arch/h1_n64_lr0.001_bs10000_ntrain100000_ep1000_seed4,1,64,0.001,10000,100000,1000,raw,,4,completed,,982,8.263477013630741,68.28505235480363,2.600995112909004,2.8151438699569553,1000,1025,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,9af8a86
gpu_arch,h2_n128_lr0.001_bs10000_ntrain100000_ep1000_seed0,runs/gpu_arch/h2_n128_lr0.001_bs10000_ntrain100000_ep1000_seed0,2,128,0.001,10000,100000,1000,raw,,0,completed,,981,3.0906850304027507,9.552333957155652,3.142664755694568,3.4861403410322964,1000,18561,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
gpu_arch,h2_n128_lr0.001_bs10000_ntrain100000_ep1000_seed1,runs/gpu_arch/h2_n128_lr0.001_bs10000_ntrain100000_ep1000_seed1,2,128,0.001,10000,100000,1000,raw,,1,completed,,984,3.1349477761970594,9.827897559482889,3.2556051432620734,3.6023482109885663,1000,18561,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
gpu_arch,h2_n128_lr0.001_bs10000_ntrain100000_ep1000_seed2,runs/gpu_arch/h2_n128_lr0.001_bs10000_ntrain100000_ep1000_seed2,2,128,0.001,10000,100000,1000,raw,,2,completed,,983,3.1288245357120275,9.789542975273584,3.1071298918686807,3.450879587093368,1000,18561,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
gpu_arch,h2_n128_lr0.001_bs10000_ntrain100000_ep1000_seed3,runs/gpu_arch/h2_n128_lr0.001_bs10000_ntrain100000_ep1000_seed3,2,128,0.001,10000,100000,1000,raw,,3,completed,,987,3.1306741473050392,9.801120616604134,3.193345337640494,3.539497814839706,1000,18561,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
gpu_arch,h2_n128_lr0.001_bs10000_ntrain100000_ep1000_seed4,runs/gpu_arch/h2_n128_lr0.001_bs10000_ntrain100000_ep1000_seed4,2,128,0.001,10000,100000,1000,raw,,4,completed,,999,3.0261679331580558,9.1576923596741,3.1846666764467955,3.5321547819767147,1000,18561,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
gpu_arch,h2_n256_lr0.001_bs10000_ntrain100000_ep1000_seed0,runs/gpu_arch/h2_n256_lr0.001_bs10000_ntrain100000_ep1000_seed0,2,256,0.001,10000,100000,1000,raw,,0,completed,,983,2.6135727284536765,6.830762406916795,3.7991361543536186,4.605378693901002,1000,69889,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
gpu_arch,h2_n256_lr0.001_bs10000_ntrain100000_ep1000_seed1,runs/gpu_arch/h2_n256_lr0.001_bs10000_ntrain100000_ep1000_seed1,2,256,0.001,10000,100000,1000,raw,,1,completed,,999,2.5962522890774165,6.740525948539725,4.037606018362567,4.846092593157664,1000,69889,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
gpu_arch,h2_n256_lr0.001_bs10000_ntrain100000_ep1000_seed2,runs/gpu_arch/h2_n256_lr0.001_bs10000_ntrain100000_ep1000_seed2,2,256,0.001,10000,100000,1000,raw,,2,completed,,989,2.6446044172373164,6.993932523671126,4.078435207251459,4.887778298929334,1000,69889,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
gpu_arch,h2_n256_lr0.001_bs10000_ntrain100000_ep1000_seed3,runs/gpu_arch/h2_n256_lr0.001_bs10000_ntrain100000_ep1000_seed3,2,256,0.001,10000,100000,1000,raw,,3,completed,,994,2.6380322569837715,6.959214188886891,3.9068432927597314,4.720802877098322,1000,69889,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
gpu_arch,h2_n256_lr0.001_bs10000_ntrain100000_ep1000_seed4,runs/gpu_arch/h2_n256_lr0.001_bs10000_ntrain100000_ep1000_seed4,2,256,0.001,10000,100000,1000,raw,,4,completed,,999,2.6607723592308483,7.079709547646894,4.029924132628366,4.849463891936466,1000,69889,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
gpu_arch,h2_n32_lr0.001_bs10000_ntrain100000_ep1000_seed0,runs/gpu_arch/h2_n32_lr0.001_bs10000_ntrain100000_ep1000_seed0,2,32,0.001,10000,100000,1000,raw,,0,completed,,995,5.599147164218682,31.350448966578103,3.1203274640720338,3.3797426980454475,1000,1569,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
gpu_arch,h2_n32_lr0.001_bs10000_ntrain100000_ep1000_seed1,runs/gpu_arch/h2_n32_lr0.001_bs10000_ntrain100000_ep1000_seed1,2,32,0.001,10000,100000,1000,raw,,1,completed,,991,5.505190030449188,30.30711727135713,3.3598756736610085,3.617534948978573,1000,1569,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
